J5L,DT,V3,n,acc1x2,brier,logloss,decAcc,conf@0.5,cov@0.5,conf@0.6,cov@0.6,conf@0.65,cov@0.65,conf@0.7,cov@0.7
0,0,1,226,0.5619,0.5752,0.9745,0.7744,0.8594,0.566,0.9054,0.327,0.88,0.221,0.8387,0.137
0,0.1,0.9,226,0.5619,0.5752,0.9746,0.7744,0.8594,0.566,0.9054,0.327,0.88,0.221,0.8387,0.137
0.1,0,0.9,226,0.5619,0.575,0.9746,0.7744,0.8527,0.571,0.8947,0.336,0.88,0.221,0.8387,0.137
0,0.2,0.8,226,0.5619,0.5752,0.9748,0.7744,0.8527,0.571,0.9054,0.327,0.875,0.212,0.8276,0.128
0.1,0.1,0.8,226,0.5619,0.5751,0.9748,0.7744,0.8527,0.571,0.8933,0.332,0.88,0.221,0.8333,0.133
0.2,0,0.8,226,0.5619,0.575,0.9749,0.7744,0.8397,0.58,0.8947,0.336,0.88,0.221,0.8387,0.137
0,0.3,0.7,226,0.5619,0.5753,0.975,0.7744,0.8527,0.571,0.9054,0.327,0.8723,0.208,0.8214,0.124
0.1,0.2,0.7,226,0.5619,0.5752,0.9751,0.7744,0.8462,0.575,0.9054,0.327,0.875,0.212,0.8276,0.128
0.2,0.1,0.7,226,0.5619,0.575,0.9751,0.7744,0.8409,0.584,0.8947,0.336,0.88,0.221,0.8276,0.128
0.3,0,0.7,226,0.5619,0.5749,0.9753,0.7744,0.8409,0.584,0.8831,0.341,0.88,0.221,0.8333,0.133
0,0.4,0.6,226,0.5619,0.5755,0.9754,0.7744,0.8527,0.571,0.9054,0.327,0.8723,0.208,0.8519,0.119
0.1,0.3,0.6,226,0.5619,0.5753,0.9754,0.7744,0.8397,0.58,0.9054,0.327,0.8723,0.208,0.8519,0.119
0.2,0.2,0.6,226,0.5619,0.5752,0.9755,0.7744,0.8409,0.584,0.8933,0.332,0.8723,0.208,0.8214,0.124
0.3,0.1,0.6,226,0.5619,0.575,0.9756,0.7744,0.8346,0.588,0.8831,0.341,0.88,0.221,0.8276,0.128
0.4,0,0.6,226,0.5619,0.5749,0.9757,0.7744,0.8358,0.593,0.8718,0.345,0.88,0.221,0.8276,0.128
0,0.5,0.5,226,0.5619,0.5756,0.9758,0.7744,0.8462,0.575,0.9054,0.327,0.8696,0.204,0.8462,0.115
0.1,0.4,0.5,226,0.5619,0.5755,0.9758,0.7744,0.8409,0.584,0.9054,0.327,0.8723,0.208,0.8462,0.115
0.2,0.3,0.5,226,0.5619,0.5753,0.9759,0.7744,0.8409,0.584,0.9054,0.327,0.8723,0.208,0.8519,0.119
0.3,0.2,0.5,226,0.5619,0.5752,0.976,0.7744,0.8346,0.588,0.8947,0.336,0.8723,0.208,0.8519,0.119
0.4,0.1,0.5,226,0.5619,0.5751,0.9761,0.7744,0.8358,0.593,0.8718,0.345,0.88,0.221,0.8519,0.119
0,0.6,0.4,226,0.5619,0.5759,0.9763,0.7744,0.8397,0.58,0.9054,0.327,0.8636,0.195,0.8333,0.106
0.1,0.5,0.4,226,0.5619,0.5757,0.9763,0.7744,0.8409,0.584,0.9054,0.327,0.8667,0.199,0.8462,0.115
0.5,0,0.5,226,0.5619,0.575,0.9763,0.7744,0.8358,0.593,0.8718,0.345,0.88,0.221,0.8214,0.124
0.2,0.4,0.4,226,0.5619,0.5755,0.9764,0.7744,0.8346,0.588,0.9054,0.327,0.8723,0.208,0.8462,0.115
0.3,0.3,0.4,226,0.5619,0.5754,0.9764,0.7744,0.8358,0.593,0.8947,0.336,0.8723,0.208,0.8462,0.115
0.4,0.2,0.4,226,0.5619,0.5753,0.9766,0.7744,0.8358,0.593,0.8831,0.341,0.8723,0.208,0.8462,0.115
0.5,0.1,0.4,226,0.5619,0.5752,0.9768,0.7744,0.8296,0.597,0.8718,0.345,0.8776,0.217,0.8519,0.119
0,0.7,0.3,226,0.5619,0.5762,0.9769,0.7744,0.8409,0.584,0.9041,0.323,0.875,0.177,0.8182,0.097
0.1,0.6,0.3,226,0.5619,0.576,0.9769,0.7744,0.8409,0.584,0.9054,0.327,0.8636,0.195,0.8261,0.102
0.2,0.5,0.3,226,0.5619,0.5758,0.9769,0.7744,0.8346,0.588,0.9054,0.327,0.8667,0.199,0.8333,0.106
0.3,0.4,0.3,226,0.5619,0.5757,0.977,0.7744,0.8358,0.593,0.8933,0.332,0.8696,0.204,0.8333,0.106
0.6,0,0.4,226,0.5619,0.575,0.977,0.7744,0.8333,0.611,0.8734,0.35,0.88,0.221,0.8519,0.119
0.4,0.3,0.3,226,0.5619,0.5755,0.9771,0.7744,0.8358,0.593,0.8831,0.341,0.8723,0.208,0.8462,0.115
0.5,0.2,0.3,226,0.5619,0.5754,0.9773,0.7744,0.8321,0.606,0.8718,0.345,0.8723,0.208,0.8462,0.115
0,0.8,0.2,226,0.5619,0.5765,0.9775,0.7744,0.8409,0.584,0.9028,0.319,0.8684,0.168,0.8095,0.093
0.1,0.7,0.2,226,0.5619,0.5763,0.9775,0.7744,0.8346,0.588,0.9054,0.327,0.875,0.177,0.8095,0.093
0.2,0.6,0.2,226,0.5619,0.5761,0.9775,0.7744,0.8358,0.593,0.9054,0.327,0.8537,0.181,0.8095,0.093
0.6,0.1,0.3,226,0.5619,0.5753,0.9775,0.7744,0.8333,0.611,0.8734,0.35,0.8776,0.217,0.8462,0.115
0.3,0.5,0.2,226,0.5619,0.576,0.9776,0.7744,0.8358,0.593,0.9054,0.327,0.8667,0.199,0.8261,0.102
0.4,0.4,0.2,226,0.5619,0.5758,0.9777,0.7744,0.8321,0.606,0.8947,0.336,0.8696,0.204,0.8261,0.102
0.7,0,0.3,226,0.5619,0.5752,0.9778,0.7744,0.8345,0.615,0.8734,0.35,0.88,0.221,0.8519,0.119
0.5,0.3,0.2,226,0.5619,0.5757,0.9779,0.7744,0.8333,0.611,0.8718,0.345,0.8723,0.208,0.8333,0.106
0.6,0.2,0.2,226,0.5619,0.5756,0.9781,0.7744,0.8333,0.611,0.8718,0.345,0.8723,0.208,0.8462,0.115
0,0.9,0.1,226,0.5619,0.5769,0.9782,0.7744,0.8409,0.584,0.9014,0.314,0.8611,0.159,0.8235,0.075
0.1,0.8,0.1,226,0.5619,0.5767,0.9782,0.7744,0.8346,0.588,0.9041,0.323,0.8684,0.168,0.7895,0.084
0.2,0.7,0.1,226,0.5619,0.5765,0.9782,0.7744,0.8358,0.593,0.9054,0.327,0.8718,0.173,0.8,0.088
0.3,0.6,0.1,226,0.5619,0.5763,0.9783,0.7744,0.8296,0.597,0.9054,0.327,0.8537,0.181,0.8095,0.093
0.7,0.1,0.2,226,0.5619,0.5755,0.9783,0.7744,0.8357,0.619,0.8734,0.35,0.8776,0.217,0.8462,0.115
0.4,0.5,0.1,226,0.5619,0.5762,0.9784,0.7744,0.8333,0.611,0.8933,0.332,0.8636,0.195,0.8095,0.093
0.5,0.4,0.1,226,0.5619,0.576,0.9785,0.7744,0.8333,0.611,0.8831,0.341,0.8696,0.204,0.8182,0.097
0.6,0.3,0.1,226,0.5619,0.5759,0.9787,0.7744,0.8345,0.615,0.8718,0.345,0.8723,0.208,0.8261,0.102
0.8,0,0.2,226,0.5619,0.5754,0.9787,0.7744,0.8357,0.619,0.875,0.354,0.88,0.221,0.8462,0.115
0,1,0,226,0.5619,0.5773,0.979,0.7744,0.8346,0.588,0.8955,0.296,0.8571,0.155,0.875,0.071
0.1,0.9,0,226,0.5619,0.5771,0.979,0.7744,0.8358,0.593,0.9028,0.319,0.8571,0.155,0.875,0.071
0.2,0.8,0,226,0.5619,0.5769,0.979,0.7744,0.8358,0.593,0.9054,0.327,0.8684,0.168,0.875,0.071
0.3,0.7,0,226,0.5619,0.5767,0.979,0.7744,0.8321,0.606,0.9054,0.327,0.8684,0.168,0.875,0.071
0.7,0.2,0.1,226,0.5619,0.5758,0.979,0.7744,0.8357,0.619,0.8734,0.35,0.8723,0.208,0.8261,0.102
0.4,0.6,0,226,0.5619,0.5766,0.9791,0.7744,0.8333,0.611,0.9054,0.327,0.875,0.177,0.7895,0.084
0.5,0.5,0,226,0.5619,0.5764,0.9793,0.7744,0.8333,0.611,0.8947,0.336,0.8636,0.195,0.8,0.088
0.8,0.1,0.1,226,0.5619,0.5757,0.9793,0.7744,0.8369,0.624,0.8734,0.35,0.8776,0.217,0.8333,0.106
0.6,0.4,0,226,0.5619,0.5763,0.9794,0.7744,0.8357,0.619,0.8718,0.345,0.8667,0.199,0.8095,0.093
0.9,0,0.1,226,0.5619,0.5756,0.9796,0.7744,0.8392,0.633,0.8795,0.367,0.88,0.221,0.8462,0.115
0.7,0.3,0,226,0.5619,0.5762,0.9797,0.7744,0.8357,0.619,0.8734,0.35,0.8723,0.208,0.8095,0.093
0.8,0.2,0,226,0.5619,0.5761,0.98,0.7744,0.838,0.628,0.8734,0.35,0.8723,0.208,0.8182,0.097
0.9,0.1,0,226,0.5619,0.576,0.9803,0.7744,0.8333,0.637,0.8765,0.358,0.8776,0.217,0.8261,0.102
1,0,0,226,0.5619,0.5759,0.9807,0.7744,0.8356,0.646,0.8736,0.385,0.88,0.221,0.8333,0.106
