team,group,elo,market_value,gdp_per_capita,population,fifa_points,temperature,is_host
Argentina,A,2105,900,13000,46000000,1865,15,0
Ukraine,A,1750,250,4800,38000000,1530,8,0
Sweden,A,1745,250,56000,10500000,1525,6,0
Cape Verde,A,1620,70,3600,600000,1400,24,0
France,B,2080,1300,44000,68000000,1850,12,0
Austria,B,1755,450,53000,9000000,1535,7,0
Serbia,B,1740,350,9200,6800000,1520,11,0
South Africa,B,1660,80,6700,60000000,1440,17,0
Spain,C,2050,1100,30000,48000000,1840,15,0
Ecuador,C,1760,300,6300,18000000,1540,22,0
Canada,C,1735,180,53000,39000000,1515,5,1
New Zealand,C,1600,60,48000,5100000,1380,12,0
England,D,2010,1500,46000,67000000,1800,10,0
Korea Republic,D,1770,200,33000,51000000,1550,12,0
Nigeria,D,1730,250,2200,218000000,1510,27,0
Jamaica,D,1630,120,6000,2800000,1410,27,0
Brazil,E,2000,1100,9000,215000000,1790,25,0
Denmark,E,1780,400,67000,5900000,1560,8,0
Poland,E,1725,250,18000,38000000,1505,8,0
Panama,E,1635,50,17000,4400000,1415,27,0
Portugal,F,1990,1000,24000,10000000,1780,16,0
Senegal,F,1785,350,1600,17000000,1565,28,0
Norway,F,1755,500,89000,5400000,1535,3,0
Costa Rica,F,1640,60,12500,5200000,1420,25,0
Netherlands,G,1975,900,57000,17500000,1765,10,0
Japan,G,1790,350,34000,125000000,1570,15,0
Turkey,G,1720,450,10600,85000000,1500,14,0
Saudi Arabia,G,1650,50,30000,36000000,1430,25,0
Belgium,H,1940,600,51000,11600000,1730,10,0
Switzerland,H,1795,350,92000,8700000,1575,6,0
Egypt,H,1715,150,4300,110000000,1495,22,0
Iran,H,1760,120,4100,88000000,1540,17,0
Germany,I,1935,950,51000,84000000,1725,9,0
Mexico,I,1800,250,11000,128000000,1580,21,1
Australia,I,1710,90,65000,26000000,1490,22,0
Qatar,I,1660,60,83000,2900000,1440,28,0
Italy,J,1900,700,35000,59000000,1690,14,0
United States,J,1820,350,76000,333000000,1600,12,1
Peru,J,1705,80,7000,34000000,1485,19,0
Ghana,J,1675,180,2200,33000000,1455,27,0
Croatia,K,1880,350,18000,3900000,1670,12,0
Morocco,K,1845,400,3700,37000000,1635,18,0
Paraguay,K,1700,120,5400,6700000,1480,23,0
Cameroon,K,1680,200,1500,27000000,1460,24,0
Uruguay,L,1875,500,17000,3400000,1665,17,0
Colombia,L,1860,450,6600,51000000,1650,24,0
Tunisia,L,1690,100,3800,12000000,1470,19,0
Ivory Coast,L,1685,200,2500,28000000,1465,26,0
